superior_rating,price,variety,Crisp,Dry,Sweet,Finish,Firm,Fresh,Fruit,Full,Rich,Round,Soft,sentiment,variety_c,sweetness,acidity,tannin,alcohol,body,tfidf_tsne_1,tfidf_tsne_2,Ready,price_bracket
0,12,Bordeaux-style White Blend,0,0,0,0,0,1,1,0,0,0,0,0.323,BW,0.5,0.5,0.5,0.375,0.375,37.756042,-6.522913,0,PP
0,35,Rhône-style Red Blend,0,0,1,1,0,0,1,0,0,1,1,0.083,RR,0.688,0.312,0.375,0.562,0.438,-21.578571,-47.2015,0,UP
0,27,Syrah,0,0,0,0,0,0,1,0,0,0,0,0.256,Sh,0.571,0.5,0.571,0.5,0.5,-21.317049,-23.921904,0,SP
0,12,Malbec-Merlot,0,0,0,0,0,0,1,0,0,0,0,0.052,MM,0.6,0.5,0.5,0.4,0.4,-29.259369,0.49239355,0,PP
0,75,Marsanne,0,0,0,0,0,0,1,0,1,0,0,0.095,Me,0.5,0.4,0.5,0.4,0.7,48.760815,-23.65473,0,L
1,40,Malbec-Merlot,0,0,0,0,0,0,1,1,0,0,0,0.363,MM,0.583,0.417,0.5,0.583,0.583,-25.954773,37.426144,0,UP
0,31,Champagne Blend,0,0,1,0,0,1,1,0,0,0,0,0.194,Cd,0.625,0.438,0.5,0.562,0.5,21.183365,-30.834785,0,UP
1,24,Sylvaner,0,1,0,1,0,1,0,0,0,0,1,0.162,Sr,0.429,0.357,0.357,0.429,0.5,31.664295,-53.88282,0,SP
0,18,Bordeaux-style White Blend,1,0,0,0,0,1,1,0,0,0,0,0.292,BW,0.5,0.667,0.5,0.333,0.417,30.317953,-11.23988,1,P
1,20,Rhône-style White Blend,0,0,0,0,0,0,1,1,1,0,0,0.355,RW,0.562,0.375,0.5,0.562,0.688,-4.742631,11.2082615,0,SP
0,37,Champagne Blend,1,1,1,0,0,0,1,1,0,1,0,0.164,Cd,0.5,0.312,0.5,0.438,0.625,28.422873,15.254629,0,UP
1,67,Bordeaux-style Red Blend,0,1,0,0,1,1,0,0,0,0,0,-0.006,BR,0.389,0.5,0.611,0.444,0.5,-20.47556,24.656532,0,L
1,50,Chardonnay,0,0,0,0,0,0,1,0,0,0,0,0.115,Cy,0.643,0.5,0.5,0.5,0.5,49.609886,17.363117,0,L
0,20,Gewürztraminer,0,1,0,1,0,0,0,0,0,0,0,0.2,Gr,0.429,0.5,0.5,0.429,0.5,5.2856817,-39.802635,0,SP
0,95,Pinot Noir,0,1,0,0,0,0,1,0,1,0,1,0.419,Pr,0.583,0.25,0.417,0.417,0.667,-2.4967704,20.36771,0,L
0,17,Bordeaux-style Red Blend,0,1,0,0,1,0,1,1,0,0,0,0.113,BR,0.333,0.417,0.583,0.417,0.5,-19.846119,10.268853,0,P
1,55,Chardonnay,0,0,0,0,0,1,1,1,1,0,0,0.362,Cy,0.5,0.357,0.5,0.5,0.714,16.004803,25.047447,0,L
1,50,Chardonnay,0,0,1,0,0,1,1,1,0,0,0,0.38,Cy,0.714,0.357,0.5,0.643,0.571,5.0751143,10.651983,0,L
1,20,Bordeaux-style Red Blend,0,0,0,0,0,0,1,0,1,0,0,0.19,BR,0.667,0.417,0.583,0.5,0.5,-32.243256,-12.840028,0,SP
1,44,Rhône-style Red Blend,0,0,0,1,0,0,0,0,0,0,0,0.013,RR,0.583,0.417,0.5,0.5,0.5,-23.135374,-35.785778,1,UP
0,18,Bordeaux-style Red Blend,0,0,0,0,0,0,1,0,1,1,1,0.147,BR,0.5,0.0,0.3,0.4,0.8,4.1101184,-7.8702617,1,P
1,65,Bordeaux-style White Blend,0,0,0,0,1,0,0,0,0,0,0,0.254,BW,0.5,0.5,0.667,0.417,0.667,-12.89689,28.78157,0,L
1,50,Bordeaux-style Red Blend,0,0,0,0,0,0,1,0,1,0,0,0.202,BR,0.5,0.4,0.6,0.4,0.7,-3.772482,28.149115,0,L
0,23,Chardonnay,0,0,0,0,0,0,1,0,0,0,0,-0.179,Cy,0.333,0.5,0.5,0.333,0.5,12.401985,46.239185,0,SP
0,18,Syrah,1,0,0,1,0,0,1,0,1,0,0,0.342,Sh,0.5,0.5,0.5,0.4,0.7,-17.14568,-55.339214,0,P
1,180,Bordeaux-style Red Blend,0,0,0,0,1,1,1,0,0,0,0,0.302,BR,0.429,0.5,0.571,0.429,0.429,-19.67971,29.017172,0,SL
0,12,Bordeaux-style Red Blend,0,1,0,0,0,1,1,0,0,0,1,0.113,BR,0.417,0.417,0.417,0.333,0.333,-25.002722,1.7227396,0,PP
1,215,Syrah,0,0,0,1,0,0,1,0,1,0,0,0.155,Sh,0.6,0.4,0.55,0.55,0.6,-17.393257,-24.670929,0,I
0,16,Chenin Blanc,0,0,0,0,0,0,1,0,0,0,0,0.05,Cc,0.625,0.5,0.5,0.5,0.5,-7.44455,60.933617,0,P
1,90,Chardonnay,0,0,0,0,0,0,1,0,0,0,0,0.206,Cy,0.5,0.643,0.571,0.429,0.571,-16.198086,18.556929,0,L
1,50,Bordeaux-style Red Blend,0,1,0,0,0,0,1,0,1,1,0,0.018,BR,0.562,0.375,0.438,0.438,0.5,-16.722422,16.233015,0,L
0,35,Pinot Gris,0,0,1,1,0,1,0,0,0,0,1,0.212,Ps,0.611,0.333,0.444,0.5,0.5,40.508934,-23.349636,0,UP
0,41,Chardonnay,0,0,0,0,0,0,1,0,0,0,0,0.617,Cy,0.5,0.5,0.5,0.375,0.5,-34.413788,35.14999,0,UP
0,21,Rhône-style Red Blend,0,1,1,1,1,0,0,0,0,0,0,-0.027,RR,0.5,0.429,0.786,0.429,0.571,-34.39511,-38.954163,0,SP
1,40,Champagne Blend,0,0,0,1,0,0,0,1,0,0,0,0.248,Cd,0.5,0.5,0.5,0.5,0.562,45.26266,23.974932,0,UP
1,60,Chardonnay,0,0,0,1,0,0,1,0,0,0,0,-0.011,Cy,0.583,0.5,0.583,0.583,0.583,6.848894,40.0664,0,L
0,13,Sparkling Blend,1,0,0,0,0,1,0,1,0,0,0,0.367,Sd,0.5,0.5,0.5,0.625,0.625,-58.40339,4.6478553,0,PP
0,21,Gamay,0,0,0,0,0,0,1,0,0,0,0,0.2,Gy,0.75,0.5,0.625,0.25,0.5,-8.223352,-13.189529,0,SP
0,29,Pinot Noir,0,0,0,0,0,0,1,0,0,0,1,0.633,Pr,0.5,0.417,0.417,0.417,0.5,-14.59895,0.674286,0,SP
0,17,Malbec,0,0,0,0,0,0,1,0,1,0,1,0.123,Mc,0.5,0.1,0.2,0.5,0.5,-42.246605,20.423607,0,P
0,12,Chenin Blanc,0,0,0,1,0,1,0,0,0,1,1,0.2,Cc,0.5,0.3,0.3,0.4,0.5,51.242718,19.995996,0,PP
0,125,Champagne Blend,0,0,0,0,0,0,1,0,0,0,0,-0.208,Cd,0.4,0.6,0.5,0.3,0.5,12.25286,-15.964695,0,SL
0,9,Gamay,0,0,0,0,0,1,1,0,0,0,0,0.24,Gy,0.5,0.625,0.5,0.375,0.5,16.237762,-12.468477,1,V
0,18,Chenin Blanc,1,0,0,0,0,1,0,0,0,0,1,0.306,Cc,0.333,0.5,0.417,0.333,0.417,32.101234,-18.254713,0,P
0,10,Bordeaux-style White Blend,0,0,0,0,0,1,1,0,0,0,0,0.338,BW,0.625,0.5,0.5,0.5,0.5,48.68472,32.843876,0,PP
0,48,Chardonnay,1,0,0,1,0,1,1,0,0,1,0,0.16,Cy,0.417,0.583,0.417,0.25,0.5,28.515001,10.24166,0,UP
0,9,Rosé,1,0,0,0,0,0,1,0,0,0,1,0.235,Re,0.4,0.5,0.4,0.3,0.5,27.234444,-20.046968,0,V
0,80,Chardonnay,0,0,0,1,0,1,0,1,0,0,1,0.267,Cy,0.5,0.357,0.429,0.643,0.643,13.454265,10.919416,0,L
0,17,Chenin Blanc-Chardonnay,0,0,0,0,0,1,0,0,0,0,0,0.189,CB,0.357,0.643,0.5,0.357,0.571,-46.878723,-9.630273,0,P
1,23,Sauvignon Blanc,0,0,0,0,0,1,1,1,1,0,0,0.254,Sc,0.583,0.25,0.5,0.583,0.75,5.8188143,33.922527,0,SP
0,12,Bordeaux-style Red Blend,0,0,0,0,0,0,1,1,1,0,0,0.186,BR,0.6,0.3,0.6,0.6,0.7,-8.505628,11.1249,0,PP
0,27,White Blend,0,0,0,0,0,0,0,0,0,0,0,0.3,Wd,0.5,0.6,0.5,0.5,0.5,13.535198,-64.590195,0,SP
0,15,Rhône-style Red Blend,0,0,0,0,0,0,0,1,0,0,0,0.058,RR,0.5,0.4,0.5,0.7,0.5,-29.984907,-21.958637,0,P
0,8,Syrah,0,0,0,0,0,0,1,1,0,0,0,0.126,Sh,0.562,0.438,0.5,0.562,0.5,-17.297228,-30.961437,1,V
0,26,Sauvignon Blanc,0,0,0,0,0,0,1,0,1,0,0,0.379,Sc,0.5,0.375,0.5,0.375,0.75,9.387356,27.957735,0,SP
0,15,Rosé,0,0,0,0,0,1,0,0,0,0,0,0.2,Re,0.3,0.6,0.5,0.2,0.4,21.659254,-6.684111,0,P
0,14,Chenin Blanc,1,0,0,0,0,0,1,0,0,0,1,0.493,Cc,0.4,0.4,0.5,0.3,0.6,10.967035,1.0357953,0,PP
0,37,Champagne Blend,0,0,0,1,0,0,1,0,0,1,0,0.075,Cd,0.583,0.5,0.417,0.5,0.417,17.538795,-50.00095,0,UP
0,34,Pinot Noir,0,1,0,0,1,0,1,0,1,0,0,0.042,Pr,0.667,0.417,0.75,0.333,0.75,-32.20528,15.571732,0,UP
0,20,Chardonnay,0,0,1,0,0,0,1,1,0,0,0,0.128,Cy,0.917,0.25,0.5,0.583,0.667,27.00444,24.292887,0,SP
0,12,Bordeaux-style Red Blend,0,1,0,0,0,0,0,0,0,0,0,0.001,BR,0.375,0.5,0.625,0.375,0.5,-32.32344,2.3415258,0,PP
0,12,Pinot Noir,0,0,1,1,0,1,1,0,0,0,1,0.43,Pr,0.667,0.5,0.5,0.417,0.5,9.840361,0.762064,0,PP
0,15,Chardonnay,1,0,0,0,0,1,0,0,0,0,0,0.33,Cy,0.333,0.75,0.583,0.333,0.5,22.826351,-7.903331,0,P
1,118,Pinot Noir,0,0,1,0,0,0,1,1,0,0,0,0.46,Pr,0.5,0.375,0.5,0.5,0.5,-54.95483,7.5456014,0,SL
1,150,Chardonnay,0,0,0,0,0,0,0,0,0,1,0,0.18,Cy,0.5,0.5,0.444,0.444,0.5,-4.876107,9.193357,0,SL
1,70,Pinot Noir,0,0,0,0,0,0,1,0,1,0,1,0.206,Pr,0.583,0.333,0.5,0.417,0.583,-6.27473,0.011278302,0,L
0,27,Sauvignon Blanc,1,0,0,0,0,1,1,0,1,0,0,0.267,Sc,0.417,0.5,0.583,0.333,0.667,5.0820107,-20.970598,0,SP
0,12,Bordeaux-style White Blend,1,0,0,1,0,0,1,0,0,0,0,0.25,BW,0.6,0.8,0.5,0.4,0.5,27.441824,-14.934706,0,PP
0,35,Pinot Gris,0,1,0,1,0,0,0,1,0,0,0,0.019,Ps,0.429,0.429,0.5,0.5,0.643,18.221313,-47.24375,0,UP
1,25,Bordeaux-style Red Blend,0,0,0,0,0,0,1,0,0,0,0,-0.084,BR,0.8,0.5,0.6,0.5,0.5,-32.65161,42.883747,0,SP
1,35,Riesling,0,1,0,1,0,0,1,0,0,0,0,0.2,Rg,0.5,0.5,0.5,0.45,0.5,-33.664665,-24.632534,0,UP
1,34,Rosé,1,0,0,0,0,0,1,0,0,0,0,0.245,Re,0.5,0.571,0.571,0.357,0.5,43.21052,1.9223764,0,UP
0,25,Sauvignon Blanc,1,0,0,1,0,0,1,0,0,0,0,0.15,Sc,0.444,0.667,0.5,0.389,0.5,40.37735,-0.16440192,0,SP
0,30,Chardonnay,0,0,0,0,0,0,1,0,1,0,0,0.355,Cy,0.5,0.25,0.417,0.417,0.583,0.55533195,10.597339,1,UP
0,20,White Blend,1,0,1,0,0,0,1,1,0,0,0,0.298,Wd,0.688,0.438,0.5,0.5,0.562,15.866841,-35.341293,0,SP
0,16,Bordeaux-style Red Blend,0,0,1,0,1,1,1,0,0,0,0,0.146,BR,0.667,0.5,0.583,0.417,0.417,-24.221167,7.025932,0,P
0,21,Rhône-style White Blend,0,0,0,1,0,0,0,0,0,0,0,0.17,RW,0.5,0.5,0.5,0.5,0.5,49.484695,2.5904534,0,SP
0,22,Chardonnay,0,0,0,0,0,1,1,1,0,0,0,0.435,Cy,0.417,0.5,0.583,0.417,0.583,38.962894,3.0678973,0,SP
0,18,Gewürztraminer,0,0,0,0,0,0,0,0,0,0,1,0.1,Gr,0.625,0.375,0.5,0.625,0.625,42.42736,13.767956,0,P
1,19,Bordeaux-style Red Blend,0,1,0,1,1,1,0,0,0,0,0,0.273,BR,0.3,0.5,0.6,0.3,0.5,-29.658512,9.543645,0,P
1,70,Chardonnay,0,0,0,1,0,0,1,1,1,0,1,0.412,Cy,0.571,0.286,0.429,0.5,0.643,3.5573566,5.539615,0,L
0,34,Chardonnay,0,0,0,0,0,0,1,0,1,0,0,0.046,Cy,0.571,0.429,0.5,0.5,0.571,51.19924,-35.521465,0,UP
0,34,Bordeaux-style Red Blend,0,0,0,0,0,0,0,1,0,1,0,0.381,BR,0.5,0.312,0.375,0.562,0.562,-26.58961,55.725468,1,UP
0,24,Chardonnay,0,0,0,0,0,1,0,0,0,0,0,0.4,Cy,0.5,0.5,0.5,0.6,0.3,16.247179,-21.901686,0,SP
1,100,Rhône-style Red Blend,0,0,0,1,0,0,0,1,1,0,0,0.22,RR,0.5,0.286,0.429,0.643,0.714,-5.694183,-53.655777,1,SL
0,35,Bordeaux-style Red Blend,0,1,0,0,0,1,1,0,0,0,0,0.233,BR,0.417,0.5,0.667,0.333,0.667,-24.063705,27.82719,0,UP
0,15,Malbec,0,1,0,1,0,0,1,0,0,0,0,-0.002,Mc,0.3,0.5,0.5,0.2,0.5,-45.359398,3.0959735,0,P
1,83,Chardonnay,0,0,0,0,0,0,1,0,1,0,0,0.5,Cy,0.7,0.5,0.5,0.5,0.6,-2.827394,17.506685,0,L
1,270,Bordeaux-style Red Blend,0,1,1,0,0,0,0,0,1,0,0,0.127,BR,0.5,0.3,0.7,0.4,0.8,-14.660859,11.13786,0,I
0,19,Sparkling Blend,0,0,0,0,0,1,1,1,1,0,0,0.405,Sd,0.5,0.2,0.5,0.5,0.7,18.500296,-14.311005,0,P
0,22,Malbec,0,0,0,0,1,0,1,0,0,0,0,0.033,Mc,0.375,0.625,0.875,0.375,0.5,-33.779053,10.61843,0,SP
0,10,Malbec,0,0,0,0,0,1,1,0,1,0,0,0.165,Mc,0.667,0.417,0.583,0.417,0.583,-18.309893,21.052597,0,PP
0,15,Malbec,0,1,0,1,0,0,1,0,0,0,0,-0.002,Mc,0.3,0.5,0.5,0.2,0.5,-45.35945,3.09597,0,P
1,92,Champagne Blend,0,0,0,0,0,1,1,1,1,0,1,0.208,Cd,0.643,0.214,0.429,0.571,0.714,3.3432605,25.33627,0,L
0,27,Chardonnay,0,0,0,1,0,0,0,0,0,1,1,-0.017,Cy,0.417,0.417,0.417,0.417,0.5,-53.114204,19.90416,0,SP
0,15,White Blend,0,0,1,1,0,0,0,0,0,1,0,0.256,Wd,0.625,0.438,0.438,0.5,0.5,18.968864,-38.62178,0,P
0,12,Rosé,0,0,0,1,0,0,1,0,0,0,0,0.123,Re,0.5,0.688,0.5,0.375,0.5,-2.3509514,-42.095848,0,PP
1,75,Marsanne,1,0,0,0,0,0,0,0,1,0,0,0.05,Me,0.375,0.625,0.5,0.375,0.625,55.71003,-3.1572018,0,L
0,17,Chardonnay,0,0,0,1,1,1,0,0,0,1,0,0.04,Cy,0.438,0.438,0.5,0.5,0.438,32.739113,-37.96672,0,P
1,50,Chardonnay,0,0,0,0,0,0,1,0,1,0,0,0.322,Cy,0.583,0.417,0.5,0.5,0.583,8.974797,34.24298,0,L
1,19,Rhône-style Red Blend,0,0,0,1,0,0,0,0,0,0,0,0.002,RR,0.438,0.438,0.562,0.5,0.5,-13.6277275,-38.300255,0,P
1,50,Champagne Blend,0,0,0,0,0,1,1,0,0,0,0,0.269,Cd,0.444,0.5,0.5,0.444,0.5,-2.1602004,53.3518,0,L
1,84,Champagne Blend,1,0,0,0,0,0,1,1,1,0,0,0.394,Cd,0.571,0.429,0.5,0.571,0.714,18.592377,4.966282,0,L
0,23,Sauvignon Blanc,0,0,0,0,0,0,0,0,0,0,1,0.4,Sc,0.417,0.5,0.583,0.417,0.583,21.040676,42.29732,0,SP
0,15,Rosé,0,0,0,0,0,1,1,0,1,0,1,0.201,Re,0.556,0.444,0.444,0.444,0.667,-11.189095,-35.32142,0,P
0,21,Bordeaux-style White Blend,0,1,1,0,0,0,0,0,1,0,0,0.35,BW,0.667,0.167,0.5,0.333,0.5,48.008038,-10.400764,0,SP
1,30,Pinot Noir,0,0,0,0,0,0,1,1,1,1,0,0.129,Pr,0.571,0.286,0.429,0.5,0.643,-20.060707,16.075823,1,UP
